Entity,Code,Year,Total,,
Ukraine,UKR,2018,8.319999695,,
United Arab Emirates,ARE,2000,2.579999924,,
United Arab Emirates,ARE,2005,3.640000105,,
United Arab Emirates,ARE,2010,3.150000095,,
United Arab Emirates,ARE,2015,3.789999962,,
United Arab Emirates,ARE,2018,3.900000095,,
United Kingdom,GBR,2000,13.72999954,,
United Kingdom,GBR,2005,13.89000034,,
United Kingdom,GBR,2010,12.06000042,,
United Kingdom,GBR,2015,11.21000004,,
United Kingdom,GBR,2018,11.44999981,,
United States,USA,2000,9.18999958,,
United States,USA,2005,9.489999771,,
United States,USA,2010,9.359999657,,
United States,USA,2015,9.819999695,,
United States,USA,2018,9.869999886,,
Upper middle income,,2000,5.781988144,,
Upper middle income,,2005,5.894494057,,
Upper middle income,,2010,7.532963753,,
Upper middle income,,2015,7.179192066,,
Upper middle income,,2018,6.963868141,,
Uruguay,URY,2000,8.090000153,,
Uruguay,URY,2005,7.460000038,,
Uruguay,URY,2010,7.099999905,,
Uruguay,URY,2015,6.989999771,,
Uruguay,URY,2018,6.920000076,,
Uzbekistan,UZB,2000,5.679999828,,
Uzbekistan,UZB,2005,4.150000095,,
Uzbekistan,UZB,2010,3.00999999,,
Uzbekistan,UZB,2015,2.589999914,,
Uzbekistan,UZB,2018,2.589999914,,
Vanuatu,VUT,2000,1.169999957,,
Vanuatu,VUT,2005,1.200000048,,
Vanuatu,VUT,2010,1.700000048,,
Vanuatu,VUT,2015,2.140000105,,
Vanuatu,VUT,2018,2.25,,
Venezuela,VEN,2000,9.149999619,,
Venezuela,VEN,2005,9.420000076,,
Venezuela,VEN,2010,8.670000076,,
Venezuela,VEN,2015,6.820000172,,
Venezuela,VEN,2018,4.139999866,,
Vietnam,VNM,2000,2.210000038,,
Vietnam,VNM,2005,2.630000114,,
Vietnam,VNM,2010,4.900000095,,
Vietnam,VNM,2015,7.860000134,,
Vietnam,VNM,2018,8.659999847,,
World,OWID_WRL,2000,5.488336086,,
World,OWID_WRL,2005,5.428832531,,
World,OWID_WRL,2010,6.283765316,,
World,OWID_WRL,2015,6.298955441,,
World,OWID_WRL,2018,6.182634354,,
Yemen,YEM,2000,0.790000021,,
Yemen,YEM,2005,0.340000004,,
Yemen,YEM,2010,0.180000007,,
Yemen,YEM,2015,0.055,,
Yemen,YEM,2018,0.050999999,,
Zambia,ZMB,2000,4.050000191,,
Zambia,ZMB,2005,3.900000095,,
Zambia,ZMB,2010,5.429999828,,
Zambia,ZMB,2015,6.889999866,,
Zambia,ZMB,2018,6.539999962,,
Zimbabwe,ZWE,2000,2.460000038,,
Zimbabwe,ZWE,2005,2.769999981,,
Zimbabwe,ZWE,2010,3.930000067,,
Zimbabwe,ZWE,2015,4.920000076,,
Zimbabwe,ZWE,2018,4.670000076,,
